metric,value
F2amplitudeLogRelF0_sma3nz_stddevNorm__std,0.09076464169393764
F3frequency_sma3nz_amean__mean,2788.570213703794
F3frequency_sma3nz_amean__std,46.1798420787146
F3frequency_sma3nz_stddevNorm__mean,0.10527687637200615
F3frequency_sma3nz_stddevNorm__std,0.0076195256393220764
F3bandwidth_sma3nz_amean__mean,951.7709095283241
F3bandwidth_sma3nz_amean__std,38.61392958724284
F3bandwidth_sma3nz_stddevNorm__mean,0.34758895624008623
F3bandwidth_sma3nz_stddevNorm__std,0.020848209457888015
F3amplitudeLogRelF0_sma3nz_amean__mean,-105.7414627372059
F3amplitudeLogRelF0_sma3nz_amean__std,9.637807327853293
F3amplitudeLogRelF0_sma3nz_stddevNorm__mean,-0.8532006938865676
F3amplitudeLogRelF0_sma3nz_stddevNorm__std,0.08172563773479567
alphaRatioV_sma3nz_amean__mean,-10.701854991570753
alphaRatioV_sma3nz_amean__std,3.3356700440539164
alphaRatioV_sma3nz_stddevNorm__mean,-1.050190751074817
alphaRatioV_sma3nz_stddevNorm__std,2.8289125250315625
hammarbergIndexV_sma3nz_amean__mean,20.99354164887959
hammarbergIndexV_sma3nz_amean__std,3.404724898355309
hammarbergIndexV_sma3nz_stddevNorm__mean,0.5279888130347552
hammarbergIndexV_sma3nz_stddevNorm__std,0.12589026056837854
slopeV0-500_sma3nz_amean__mean,0.06844237323574982
slopeV0-500_sma3nz_amean__std,0.01603669412934388
slopeV0-500_sma3nz_stddevNorm__mean,0.42209571814490665
slopeV0-500_sma3nz_stddevNorm__std,0.14967790675089368
slopeV500-1500_sma3nz_amean__mean,-0.014160769757613583
slopeV500-1500_sma3nz_amean__std,0.005514167074412109
slopeV500-1500_sma3nz_stddevNorm__mean,-1.7297509764882841
slopeV500-1500_sma3nz_stddevNorm__std,2.381244040389932
spectralFluxV_sma3nz_amean__mean,0.33777636200450506
spectralFluxV_sma3nz_amean__std,0.14894347694358873
spectralFluxV_sma3nz_stddevNorm__mean,0.7685848040803397
spectralFluxV_sma3nz_stddevNorm__std,0.10868783029417989
mfcc1V_sma3nz_amean__mean,41.0492387615753
mfcc1V_sma3nz_amean__std,3.517471878016914
mfcc1V_sma3nz_stddevNorm__mean,0.24979298729956845
mfcc1V_sma3nz_stddevNorm__std,0.0899316805084291
mfcc2V_sma3nz_amean__mean,-18.60032966920829
mfcc2V_sma3nz_amean__std,8.362744504068576
mfcc2V_sma3nz_stddevNorm__mean,-32.4352593628349
mfcc2V_sma3nz_stddevNorm__std,708.179117411469
mfcc3V_sma3nz_amean__mean,17.815706811352463
mfcc3V_sma3nz_amean__std,5.694797658811604
mfcc3V_sma3nz_stddevNorm__mean,1.2680269340596775
mfcc3V_sma3nz_stddevNorm__std,3.8035625782506424
mfcc4V_sma3nz_amean__mean,-6.888967013555481
mfcc4V_sma3nz_amean__std,5.832422434373779
mfcc4V_sma3nz_stddevNorm__mean,-4.693392627086157
mfcc4V_sma3nz_stddevNorm__std,51.71579981400311
alphaRatioUV_sma3nz_amean__mean,-3.6936582520283423
alphaRatioUV_sma3nz_amean__std,2.5258502521857733
hammarbergIndexUV_sma3nz_amean__mean,12.181579995248104
hammarbergIndexUV_sma3nz_amean__std,2.6898437047908623
slopeUV0-500_sma3nz_amean__mean,0.0578714481605659
slopeUV0-500_sma3nz_amean__std,0.01736523943085402
slopeUV500-1500_sma3nz_amean__mean,0.01155580533381041
slopeUV500-1500_sma3nz_amean__std,0.005570172629923943
spectralFluxUV_sma3nz_amean__mean,0.1317600106950922
spectralFluxUV_sma3nz_amean__std,0.06447777807777594
loudnessPeaksPerSec__mean,2.891249317835277
loudnessPeaksPerSec__std,0.45060369844478154
VoicedSegmentsPerSec__mean,0.3018178695718602
VoicedSegmentsPerSec__std,0.09030023182087739
MeanVoicedSegmentLengthSec__mean,0.1652175254742923
MeanVoicedSegmentLengthSec__std,0.02820714917555617
StddevVoicedSegmentLengthSec__mean,0.15017381432223412
StddevVoicedSegmentLengthSec__std,0.031686470522297325
MeanUnvoicedSegmentLength__mean,0.17137295339647898
MeanUnvoicedSegmentLength__std,0.028156312571024727
StddevUnvoicedSegmentLength__mean,0.30153791113586276
StddevUnvoicedSegmentLength__std,0.1807951621186259
equivalentSoundLevel_dBp__mean,-25.191631187260846
equivalentSoundLevel_dBp__std,3.5668221609498674
