dataset,convention,split,target,horizon,model,segment,n,mse,mae,r2_oos,spearman_q,gbdt_mse_std,dm_p_vs_persistence
fincall,trading,combined,dv,30,ewma,test,92,0.12422638416080271,0.25791409457079306,-0.16018283064328243,0.08484319317563686,,0.2532498376496649
fincall,trading,combined,dv,30,ewma,val,21,0.06013331421501971,0.20432792212003897,0.1131142749994335,0.15037593984962402,,0.4764412194042309
fincall,trading,combined,dv,30,garch,test,92,0.15656277094729992,0.28352805207178716,-0.46218084023013684,0.41356903923093735,,0.17938917760247072
fincall,trading,combined,dv,30,garch,val,21,0.10375335924624585,0.25171268044904904,-0.5302228795725927,0.29624060150375936,,0.38945567359361916
fincall,trading,combined,dv,30,gbdt_tickerFE,test,92,0.20081014235064165,0.3683911460097503,-0.875418663660656,0.258377586969452,0.006153306838955506,0.0010457036480969674
fincall,trading,combined,dv,30,gbdt_tickerFE,val,21,0.15750468538063694,0.30684474536249595,-1.322982840847675,-0.06827067669172933,0.006819608298722134,0.10183055076823
fincall,trading,combined,dv,30,har,test,92,0.1274874779883357,0.2963155339808339,-0.19063904244868368,0.2623021804002908,,0.22433458831265377
fincall,trading,combined,dv,30,har,val,21,0.09218649598753341,0.24488767851033252,-0.35962716168975395,0.2721804511278195,,0.3908913880508649
fincall,trading,combined,dv,30,persistence,test,92,0.10707483413792925,0.24452379630554263,0.0,,,
fincall,trading,combined,dv,30,persistence,val,21,0.06780277607352547,0.20570292551498248,0.0,,,
fincall,trading,combined,har_resid,3,ewma,test,92,0.7460992106534836,0.6548610633062062,-0.07601330822404884,0.21054804862053716,,0.27952758985223997
fincall,trading,combined,har_resid,3,ewma,val,21,0.4156639377126953,0.543236292468878,-0.07209108752396354,-0.3218045112781954,,0.687616384495145
fincall,trading,combined,har_resid,3,garch,test,92,0.8179346469814198,0.6669395204323112,-0.17961331796436175,0.3056154585246077,,0.1395494221002431
fincall,trading,combined,har_resid,3,garch,val,21,0.3986687560477223,0.5338306649516208,-0.02825667914557295,-0.14736842105263157,,0.9124714762984885
fincall,trading,combined,har_resid,3,gbdt_tickerFE,test,92,0.8550669680520215,0.7076740048900088,-0.23316500528248735,0.09291288566243194,0.011738423507245346,0.027751812034792638
fincall,trading,combined,har_resid,3,gbdt_tickerFE,val,21,0.5772504303478543,0.6165639227721612,-0.488859113087321,-0.04150375939849623,0.0340454658671337,0.05592514347112622
fincall,trading,combined,har_resid,3,har,test,92,0.6933921773559792,0.6442819412602369,0.0,,,
fincall,trading,combined,har_resid,3,har,val,21,0.3877132666709202,0.5161388541883328,0.0,,,
fincall,trading,combined,har_resid,3,persistence,test,92,0.6933921773559792,0.6442819412602369,0.0,,,
fincall,trading,combined,har_resid,3,persistence,val,21,0.3877132666709202,0.5161388541883328,0.0,,,
fincall,trading,combined,har_resid,7,ewma,test,92,0.2626542948487506,0.42085414668571813,-0.030927981369650803,0.2248352880172033,,0.7369000089305263
fincall,trading,combined,har_resid,7,ewma,val,21,0.2406290612197076,0.3925073464946697,0.09056687629832672,0.22857142857142856,,0.6233831719223855
fincall,trading,combined,har_resid,7,garch,test,92,0.2950325546092992,0.43004745288812585,-0.1580138681411818,0.3396987651684994,,0.34610889363817526
fincall,trading,combined,har_resid,7,garch,val,21,0.23165963829226413,0.4023080684506359,0.12446590025395132,0.18646616541353384,,0.5837794420422953
fincall,trading,combined,har_resid,7,gbdt_tickerFE,test,92,0.3321986918140053,0.4637982280198356,-0.3038923538739932,0.058573868748951485,0.0008006810188051389,0.00345028982760689
fincall,trading,combined,har_resid,7,gbdt_tickerFE,val,21,0.334394711979038,0.4159899449190834,-0.2638108876913625,0.05533834586466165,0.021760922806997863,0.4016469026356484
fincall,trading,combined,har_resid,7,har,test,92,0.25477462984349136,0.40652205822096354,0.0,,,
fincall,trading,combined,har_resid,7,har,val,21,0.26459236523107177,0.39277221105239024,0.0,,,
fincall,trading,combined,har_resid,7,persistence,test,92,0.25477462984349136,0.40652205822096354,0.0,,,
fincall,trading,combined,har_resid,7,persistence,val,21,0.26459236523107177,0.39277221105239024,0.0,,,
fincall,trading,combined,har_resid,15,ewma,test,92,0.1629397175574359,0.310009435530757,-0.026968203318854966,0.28099749881803904,,0.8486266244980738
fincall,trading,combined,har_resid,15,ewma,val,21,0.1153284521000904,0.26109649129847884,0.17547234748197393,0.35037593984962395,,0.47134367214092443
fincall,trading,combined,har_resid,15,garch,test,92,0.20595370567331747,0.33983795378703274,-0.29807459011723814,0.42626304605326715,,0.23728615705682532
fincall,trading,combined,har_resid,15,garch,val,21,0.09906640314333626,0.2650267160317012,0.2917360170906568,0.2706766917293233,,0.3486280696517212
fincall,trading,combined,har_resid,15,gbdt_tickerFE,test,92,0.2515812390315721,0.40395347570672985,-0.5856534975636718,-0.011500480409949831,0.005134237835584941,0.0003133677716835863
fincall,trading,combined,har_resid,15,gbdt_tickerFE,val,21,0.21352593337382791,0.3505863143652722,-0.5265793773391394,0.03699248120300751,0.009228919230671132,0.09680906029360013
fincall,trading,combined,har_resid,15,har,test,92,0.15866091767093013,0.31830556334297744,0.0,,,
fincall,trading,combined,har_resid,15,har,val,21,0.13987214588605815,0.29826633589152785,0.0,,,
fincall,trading,combined,har_resid,15,persistence,test,92,0.15866091767093013,0.31830556334297744,0.0,,,
fincall,trading,combined,har_resid,15,persistence,val,21,0.13987214588605815,0.29826633589152785,0.0,,,
fincall,trading,combined,har_resid,30,ewma,test,92,0.12422638416080271,0.25791409457079306,0.02557971872211129,0.36411363093331706,,0.885708852336953
fincall,trading,combined,har_resid,30,ewma,val,21,0.06013331421501971,0.20432792212003897,0.34769931787892583,0.4030075187969925,,0.27497652327342825
fincall,trading,combined,har_resid,30,garch,test,92,0.15656277094729992,0.28352805207178716,-0.22806391198376708,0.5270018352168454,,0.3924937964352621
fincall,trading,combined,har_resid,30,garch,val,21,0.10375335924624585,0.25171268044904904,-0.1254724255955737,0.431578947368421,,0.7718026564234386
fincall,trading,combined,har_resid,30,gbdt_tickerFE,test,92,0.20333276405447548,0.3655138836212895,-0.5949234172871408,-0.03090428912036684,0.007142370350710801,0.0008454642322997945
fincall,trading,combined,har_resid,30,gbdt_tickerFE,val,21,0.14366467932835641,0.2978670250367763,-0.5584134941823207,-0.039097744360902256,0.004519689014987415,0.16345410503066793
fincall,trading,combined,har_resid,30,har,test,92,0.1274874779883357,0.2963155339808339,0.0,,,
fincall,trading,combined,har_resid,30,har,val,21,0.09218649598753341,0.24488767851033252,0.0,,,
fincall,trading,combined,har_resid,30,persistence,test,92,0.1274874779883357,0.2963155339808339,0.0,,,
fincall,trading,combined,har_resid,30,persistence,val,21,0.09218649598753341,0.24488767851033252,0.0,,,
fincall,trading,combined,v,3,ewma,test,92,0.7460992106534836,0.6548610633062062,0.30333410466877764,0.3468644989756339,,0.006651173598676171
fincall,trading,combined,v,3,ewma,val,21,0.4156639377126953,0.543236292468878,0.6101974618556063,-0.29172932330827067,,0.04006741152250001
fincall,trading,combined,v,3,garch,test,92,0.8179346469814198,0.6669395204323112,0.23625817448239173,0.4241506402924146,,0.0651654339037545
fincall,trading,combined,v,3,garch,val,21,0.3986687560477223,0.5338306649516208,0.6261352528164631,-0.3609022556390977,,0.03529416063984388
fincall,trading,combined,v,3,gbdt_tickerFE,test,92,0.8691715730287728,0.7116537113030825,0.1884159861391891,0.24440901950616908,0.01264433518207058,0.1286279090652102
fincall,trading,combined,v,3,gbdt_tickerFE,val,21,0.5836903613654268,0.6237271104188589,0.4526251528995401,-0.09353383458646616,0.01734529861288724,0.07611259939236989
fincall,trading,combined,v,3,har,test,92,0.6933921773559792,0.6442819412602369,0.35254899729719547,0.3500218599236429,,0.0019101787406728655
fincall,trading,combined,v,3,har,val,21,0.3877132666709202,0.5161388541883328,0.6364091235524978,-0.05413533834586466,,0.03171457442240298
fincall,trading,combined,v,3,persistence,test,92,1.0709569905079948,0.8332343829553942,0.0,0.15058551551292024,,
fincall,trading,combined,v,3,persistence,val,21,1.0663448721791593,0.8146545794815291,0.0,0.14285714285714285,,
fincall,trading,combined,v,7,ewma,test,92,0.2626542948487506,0.42085414668571813,0.20815343385366614,0.4625496296522239,,0.018285590762561775
fincall,trading,combined,v,7,ewma,val,21,0.2406290612197076,0.3925073464946697,0.524342915018172,0.1518796992481203,,0.11098201487019381
fincall,trading,combined,v,7,garch,test,92,0.2950325546092992,0.43004745288812585,0.11053990035348682,0.5241910557326379,,0.42466780549263394
fincall,trading,combined,v,7,garch,val,21,0.23165963829226413,0.4023080684506359,0.5420729827914137,0.16992481203007515,,0.11279477058350491
fincall,trading,combined,v,7,gbdt_tickerFE,test,92,0.3413346619878097,0.4701776546938842,-0.029051057997776342,0.2757876181325525,0.0058391573252707715,0.8725371311074793
fincall,trading,combined,v,7,gbdt_tickerFE,val,21,0.3356670768915649,0.4212015064991664,0.3364790499147886,0.1882706766917293,0.007147520882408934,0.18290022158548688
fincall,trading,combined,v,7,har,test,92,0.25477462984349136,0.40652205822096354,0.23190893985211525,0.44662797968552215,,0.029392952073264825
fincall,trading,combined,v,7,har,val,21,0.26459236523107177,0.39277221105239024,0.47697409233814025,0.18345864661654135,,0.07936602373793514
fincall,trading,combined,v,7,persistence,test,92,0.33169847048400514,0.4758263298240852,0.0,0.36422394729216556,,
fincall,trading,combined,v,7,persistence,val,21,0.5058876842524075,0.5154328229666916,0.0,0.07218045112781954,,
fincall,trading,combined,v,15,ewma,test,92,0.1629397175574359,0.310009435530757,0.10456481367477866,0.5661891798461671,,0.29569180821245056
fincall,trading,combined,v,15,ewma,val,21,0.1153284521000904,0.26109649129847884,0.5637247080549334,0.4541353383458646,,0.004154404595558893
fincall,trading,combined,v,15,garch,test,92,0.20595370567331747,0.33983795378703274,-0.13181854969737405,0.6401945533204207,,0.5871750114142216
fincall,trading,combined,v,15,garch,val,21,0.09906640314333626,0.2650267160317012,0.6252423130087877,0.3578947368421052,,0.03597337162560131
fincall,trading,combined,v,15,gbdt_tickerFE,test,92,0.24890363549226224,0.4003478517681553,-0.3678498807110988,0.22842728016796557,0.0058190505088556626,0.036879496888204494
fincall,trading,combined,v,15,gbdt_tickerFE,val,21,0.21559458975611928,0.364029638225514,0.18442855275646158,0.35789473684210527,0.008906012311362831,0.3864341752943473
fincall,trading,combined,v,15,har,test,92,0.15866091767093013,0.31830556334297744,0.12807895762357402,0.5347355457609542,,0.23307482934310988
fincall,trading,combined,v,15,har,val,21,0.13987214588605815,0.29826633589152785,0.4708785198255935,0.3759398496240601,,0.019770230158412436
fincall,trading,combined,v,15,persistence,test,92,0.1819670703651088,0.3395555844962652,0.0,0.4602373072641035,,
fincall,trading,combined,v,15,persistence,val,21,0.26434788820131466,0.3977497480436844,0.0,0.4661654135338345,,
fincall,trading,combined,v,30,ewma,test,92,0.12422638416080271,0.25791409457079306,-0.16018283064328243,0.6557145907364762,,0.2532498376496649
fincall,trading,combined,v,30,ewma,val,21,0.06013331421501971,0.20432792212003897,0.1131142749994335,0.5007518796992482,,0.4764412194042309
fincall,trading,combined,v,30,garch,test,92,0.15656277094729992,0.28352805207178716,-0.46218084023013684,0.731860203246453,,0.17938917760247072
fincall,trading,combined,v,30,garch,val,21,0.10375335924624585,0.25171268044904904,-0.5302228795725927,0.4631578947368421,,0.38945567359361916
fincall,trading,combined,v,30,gbdt_tickerFE,test,92,0.20275723751981914,0.3654673150451423,-0.8936030968643471,0.2876049403427433,0.004752735019242012,0.001079326112164804
fincall,trading,combined,v,30,gbdt_tickerFE,val,21,0.14439917428979482,0.2961915296593234,-1.1296941313023532,0.18406015037593984,0.00296812276785721,0.13230809141776156
fincall,trading,combined,v,30,har,test,92,0.1274874779883357,0.2963155339808339,-0.19063904244868368,0.6451108755661975,,0.22433458831265377
fincall,trading,combined,v,30,har,val,21,0.09218649598753341,0.24488767851033252,-0.35962716168975395,0.38947368421052625,,0.3908913880508649
fincall,trading,combined,v,30,persistence,test,92,0.10707483413792925,0.24452379630554263,0.0,0.6658575953067253,,
fincall,trading,combined,v,30,persistence,val,21,0.06780277607352547,0.20570292551498248,0.0,0.4541353383458646,,
fincall,trading,temporal,dv,3,ewma,test,481,0.7199654405750961,0.6517816972359788,0.386892820988638,0.6945430822798826,,4.073590886063106e-14
fincall,trading,temporal,dv,3,ewma,val,228,0.5120446516959838,0.5636907997366336,0.5985827938736534,0.6747630380788671,,4.249748988175598e-06
fincall,trading,temporal,dv,3,garch,test,479,0.8597339689659537,0.7072834996707299,0.2645215290850105,0.6821595931099316,,6.882794527278517e-07
fincall,trading,temporal,dv,3,garch,val,228,0.5737841258051214,0.5949633024337806,0.5501821570883394,0.7436473878709438,,3.0270099982612982e-05
fincall,trading,temporal,dv,3,gbdt_tickerFE,test,481,0.7707879278131918,0.6850737539996079,0.34361347725236074,0.616851495781028,0.00738436171587199,3.6424513542411126e-09
fincall,trading,temporal,dv,3,gbdt_tickerFE,val,228,0.6137200804544525,0.6178052572656025,0.5188743809281442,0.598536802865385,0.007361543227411713,7.882751073570815e-06
fincall,trading,temporal,dv,3,har,test,481,0.6295258267009284,0.613025346824617,0.46390926290142753,0.6754708084892638,,1.820656476531648e-16
fincall,trading,temporal,dv,3,har,val,228,0.4682819026174736,0.5587010635051486,0.632890584042574,0.6640286361966781,,7.311447618858232e-07
fincall,trading,temporal,dv,3,persistence,test,481,1.1742896922786705,0.8485494339201356,0.0,,,
fincall,trading,temporal,dv,3,persistence,val,228,1.2755921865860853,0.8590854185617007,0.0,,,
fincall,trading,temporal,dv,7,ewma,test,481,0.2669236537544755,0.41654050183708863,0.3623971220268618,0.6837407658592702,,2.3042735395906785e-19
fincall,trading,temporal,dv,7,ewma,val,228,0.18555973829920172,0.33173266996334727,0.4733443732519431,0.5164812348608298,,6.35896719181109e-09
fincall,trading,temporal,dv,7,garch,test,479,0.335487822447765,0.46506079153551444,0.19258671618112477,0.6465385584957164,,0.00016082703455836647
fincall,trading,temporal,dv,7,garch,val,228,0.2245399511911576,0.3601424181562835,0.36271073774700424,0.5170775586004392,,5.4315852087269095e-05
fincall,trading,temporal,dv,7,gbdt_tickerFE,test,481,0.3150089533460871,0.45613365032497855,0.24753534422423398,0.5648184322402608,0.001375167645666104,3.7906198110251896e-05
fincall,trading,temporal,dv,7,gbdt_tickerFE,val,228,0.25974583102157417,0.4131892408364468,0.26278941387981825,0.2595359412613726,0.0037786896886649996,0.0030640208609961847
fincall,trading,temporal,dv,7,har,test,481,0.24714345398626805,0.4009095618589496,0.40964625908046093,0.6501813031862309,,4.257529797639159e-15
fincall,trading,temporal,dv,7,har,val,228,0.1960119231165444,0.3509840431042902,0.4436789835703291,0.43989948536085066,,1.1018705150650903e-07
fincall,trading,temporal,dv,7,persistence,test,481,0.4186362122501599,0.520852516929287,0.0,,,
fincall,trading,temporal,dv,7,persistence,val,228,0.35233600264555864,0.452351560319568,0.0,,,
fincall,trading,temporal,dv,15,ewma,test,481,0.17777311198527118,0.3342089911835216,0.1453780868395913,0.4868005693755171,,7.65133322052921e-07
fincall,trading,temporal,dv,15,ewma,val,228,0.09342743371450316,0.23130542183919856,0.4091711586397152,0.6281680893083744,,1.0472826021403408e-10
fincall,trading,temporal,dv,15,garch,test,479,0.23311488425576468,0.3867753888499631,-0.14034909223131864,0.48927932436521876,,0.043598791881407015
fincall,trading,temporal,dv,15,garch,val,228,0.12862206382646793,0.262243840149914,0.18660267201405722,0.6090316576813202,,0.10143062153532222
fincall,trading,temporal,dv,15,gbdt_tickerFE,test,481,0.21983917027232497,0.3816075353140273,-0.05684920620221443,0.4034319674101985,0.0027911361246330847,0.456689937657425
fincall,trading,temporal,dv,15,gbdt_tickerFE,val,228,0.1352127218992485,0.27901224828743554,0.1449237912172035,0.4192775907929696,0.003122010006045076,0.10122992420338502
fincall,trading,temporal,dv,15,har,test,481,0.16499524678806152,0.3335496537492205,0.20680606927739598,0.485291842753514,,3.9690777032258355e-05
fincall,trading,temporal,dv,15,har,val,228,0.10011348989472132,0.2384411624961785,0.3668889865926963,0.4799272328904737,,2.075612059070428e-06
fincall,trading,temporal,dv,15,persistence,test,481,0.20801375350634607,0.36461196344813596,0.0,,,
fincall,trading,temporal,dv,15,persistence,val,228,0.1581294398211876,0.31199564225421667,0.0,,,
fincall,trading,temporal,dv,30,ewma,test,481,0.1358253202021234,0.2880298575354202,-0.2190757782364916,-0.07129754557601509,,1.141428478521065e-06
fincall,trading,temporal,dv,30,ewma,val,228,0.07188293736076763,0.20515039384172565,-0.2251750777128294,0.15779465595669645,,0.006883072552476257
fincall,trading,temporal,dv,30,garch,test,479,0.16720864440174027,0.32478959406714375,-0.5411811794100716,0.345284117013265,,3.7544188002577915e-07
fincall,trading,temporal,dv,30,garch,val,228,0.12374796171358034,0.2744513748232913,-1.1091642074714039,0.5108926499024024,,6.867886306687881e-06
fincall,trading,temporal,dv,30,gbdt_tickerFE,test,481,0.212096185173755,0.3659418880003852,-0.9036312347132183,0.2918873513352322,0.002041296077939425,6.483391466665124e-13
fincall,trading,temporal,dv,30,gbdt_tickerFE,val,228,0.15902910585041913,0.30708646752763846,-1.710497153740802,-0.07882643821128446,0.0017757771547401349,1.4051021018869912e-08
fincall,trading,temporal,dv,30,har,test,481,0.14340959441793918,0.3089175429715145,-0.28714706993855277,0.30261512274750096,,5.931496899554706e-05
fincall,trading,temporal,dv,30,har,val,228,0.09984613977656064,0.2590852223905531,-0.7017807918188745,0.16022794826245687,,4.637926044206516e-07
fincall,trading,temporal,dv,30,persistence,test,481,0.11141663432818553,0.2633952127988365,0.0,,,
fincall,trading,temporal,dv,30,persistence,val,228,0.05867156349193742,0.190447720392835,0.0,,,
fincall,trading,temporal,har_resid,3,ewma,test,481,0.7199654405750961,0.6517816972359788,-0.14366307153452706,0.16157096836901463,,0.0001578366482820592
fincall,trading,temporal,har_resid,3,ewma,val,228,0.5120446516959838,0.5636907997366336,-0.09345385511141302,0.15027748778686514,,0.12402731831721409
fincall,trading,temporal,har_resid,3,garch,test,479,0.8597339689659537,0.7072834996707299,-0.3642462078122206,0.18254265832028677,,9.397632201542352e-09
fincall,trading,temporal,har_resid,3,garch,val,228,0.5737841258051214,0.5949633024337806,-0.22529639219013253,0.2645070525040518,,0.006985927728982088
fincall,trading,temporal,har_resid,3,gbdt_tickerFE,test,481,0.7550082936653502,0.678559861930955,-0.19932854482241172,0.07037283166659598,0.007921765745631405,1.2639905764786927e-05
fincall,trading,temporal,har_resid,3,gbdt_tickerFE,val,228,0.6007877746506186,0.6206383681192617,-0.2829617614785028,0.09880441139255844,0.010937789245673447,0.0004977631088344576
fincall,trading,temporal,har_resid,3,har,test,481,0.6295258267009284,0.613025346824617,0.0,,,
fincall,trading,temporal,har_resid,3,har,val,228,0.4682819026174736,0.5587010635051486,0.0,,,
fincall,trading,temporal,har_resid,3,persistence,test,481,0.6295258267009284,0.613025346824617,0.0,,,
fincall,trading,temporal,har_resid,3,persistence,val,228,0.4682819026174736,0.5587010635051486,0.0,,,
fincall,trading,temporal,har_resid,7,ewma,test,481,0.2669236537544755,0.41654050183708863,-0.08003529710848212,0.17811667172857196,,0.043513948615075126
fincall,trading,temporal,har_resid,7,ewma,val,228,0.18555973829920172,0.33173266996334727,0.053324229726209205,0.45125535879474366,,0.3534447432725189
fincall,trading,temporal,har_resid,7,garch,test,479,0.335487822447765,0.46506079153551444,-0.35408965374942936,0.2107399037636894,,2.808191446430135e-07
fincall,trading,temporal,har_resid,7,garch,val,228,0.2245399511911576,0.3601424181562835,-0.1455423099831079,0.4065515796198467,,0.11966240258472222
fincall,trading,temporal,har_resid,7,gbdt_tickerFE,test,481,0.3063691648003191,0.4490582302375091,-0.23964102572322954,0.09978903725742302,0.002775540523745255,2.304898650114808e-06
fincall,trading,temporal,har_resid,7,gbdt_tickerFE,val,228,0.2598178253909172,0.41291199746615714,-0.3255205155884072,0.147358164882546,0.004203941239921139,4.003133419818606e-05
fincall,trading,temporal,har_resid,7,har,test,481,0.24714345398626805,0.4009095618589496,0.0,,,
fincall,trading,temporal,har_resid,7,har,val,228,0.1960119231165444,0.3509840431042902,0.0,,,
fincall,trading,temporal,har_resid,7,persistence,test,481,0.24714345398626805,0.4009095618589496,0.0,,,
fincall,trading,temporal,har_resid,7,persistence,val,228,0.1960119231165444,0.3509840431042902,0.0,,,
fincall,trading,temporal,har_resid,15,ewma,test,481,0.17777311198527118,0.3342089911835216,-0.07744383820718781,0.24032352852123784,,0.15745216658371713
fincall,trading,temporal,har_resid,15,ewma,val,228,0.09342743371450316,0.23130542183919856,0.06678476783947085,0.461468659705719,,0.45483734183337726
fincall,trading,temporal,har_resid,15,garch,test,479,0.23311488425576468,0.3867753888499631,-0.40742340623050954,0.3474101921647758,,5.931901943835259e-07
fincall,trading,temporal,har_resid,15,garch,val,228,0.12862206382646793,0.262243840149914,-0.28476256258498256,0.5741950597539495,,0.06241448311440672
fincall,trading,temporal,har_resid,15,gbdt_tickerFE,test,481,0.21768923664067086,0.3791674254532227,-0.31936671436538683,0.0942988013550288,0.0023611531391521555,3.2137632992595043e-09
fincall,trading,temporal,har_resid,15,gbdt_tickerFE,val,228,0.13932955060038027,0.28191688001718973,-0.39171604892505785,0.289138540878976,0.002098135243948134,0.00013104252187501732
fincall,trading,temporal,har_resid,15,har,test,481,0.16499524678806152,0.3335496537492205,0.0,,,
fincall,trading,temporal,har_resid,15,har,val,228,0.10011348989472132,0.2384411624961785,0.0,,,
fincall,trading,temporal,har_resid,15,persistence,test,481,0.16499524678806152,0.3335496537492205,0.0,,,
fincall,trading,temporal,har_resid,15,persistence,val,228,0.10011348989472132,0.2384411624961785,0.0,,,
fincall,trading,temporal,har_resid,30,ewma,test,481,0.1358253202021234,0.2880298575354202,0.05288540314613044,0.27382914027922056,,0.41497452013483516
fincall,trading,temporal,har_resid,30,ewma,val,228,0.07188293736076763,0.20515039384172565,0.2800629296071945,0.5030521324969938,,0.001143185556755198
fincall,trading,temporal,har_resid,30,garch,test,479,0.16720864440174027,0.32478959406714375,-0.16323618187386923,0.45999163590606296,,0.021865568750570802
fincall,trading,temporal,har_resid,30,garch,val,228,0.12374796171358034,0.2744513748232913,-0.2393865400355797,0.6825987091178389,,0.0879231337896465
fincall,trading,temporal,har_resid,30,gbdt_tickerFE,test,481,0.20915272126597045,0.3629851117251431,-0.4584290689536141,0.03010646898291496,0.002260770872724681,2.267030288260545e-10
fincall,trading,temporal,har_resid,30,gbdt_tickerFE,val,228,0.15797631057662337,0.30679217757929056,-0.5821974783416624,0.02377136325373386,0.005396172133521309,0.00012002137365305882
fincall,trading,temporal,har_resid,30,har,test,481,0.14340959441793918,0.3089175429715145,0.0,,,
fincall,trading,temporal,har_resid,30,har,val,228,0.09984613977656064,0.2590852223905531,0.0,,,
fincall,trading,temporal,har_resid,30,persistence,test,481,0.14340959441793918,0.3089175429715145,0.0,,,
fincall,trading,temporal,har_resid,30,persistence,val,228,0.09984613977656064,0.2590852223905531,0.0,,,
fincall,trading,temporal,v,3,ewma,test,481,0.7199654405750961,0.6517816972359788,0.386892820988638,0.3615528847286868,,4.073590886063106e-14
fincall,trading,temporal,v,3,ewma,val,228,0.5120446516959838,0.5636907997366336,0.5985827938736534,0.3566019460243016,,4.249748988175598e-06
fincall,trading,temporal,v,3,garch,test,479,0.8597339689659537,0.7072834996707299,0.2645215290850105,0.3481975977655273,,6.882794527278517e-07
fincall,trading,temporal,v,3,garch,val,228,0.5737841258051214,0.5949633024337806,0.5501821570883394,0.4119535919610939,,3.0270099982612982e-05
fincall,trading,temporal,v,3,gbdt_tickerFE,test,481,0.7584077900341443,0.679931882444528,0.35415613794371403,0.23127988587289555,0.005427599599802498,7.170938509899985e-10
